id,stratum,pmcid,doi,source_doi,license_pool,has_structure,source_url,ir_bands_preview,auditor,source_found,bands_match,truncation_artifact,pairing_ok,completeness,name_structure_ok,confidence,notes
00177ad66f77eeef1aba,A,PMC6149822,,PMC:6149822,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6149822/,3116.97;2937.59;2835.36;1645.28;1587.42;1566.2;1531.48;1462.04;...,Rudra,Y,exact,N,Y,full,Y,5,
1990549eb35011c28bf9,A,PMC7690313,,PMC:7690313,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7690313/,3370;2978;2929;1714;1669;1529;1458;1412;...,Rudra,Y,exact,N,Y,full,Y,4,
372c8ca455d05e02c9e5,A,PMC6661766,,PMC:6661766,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6661766/,3421.26;3064.94;2921.26;1679.07;1598.74;1496.44;1453.23;1359.03;...,Rudra,Y,exact,N,Y,full,Y,5,
4293a9a52fbe199f9e85,A,PMC7261929,,PMC:7261929,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7261929/,2923;2854;1730;1460;1401;1284;1259;1218;...,Rudra,Y,exact,N,Y,full,Y,5,
5c9668be39b377b7350b,A,PMC3354656,,PMC:3354656,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3354656/,1708.9;1681;1247;3344;854;1593,Rudra,Y,exact,N,Y,full,Y,5,
5dacade5f69be324e672,A,PMC10488981,,PMC:10488981,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10488981/,3341.93;2984.56;1606.55;1034.03,Rudra,Y,exact,N,Y,full,Y,5,
7c99025a3d56248467ee,A,PMC10647553,,PMC:10647553,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10647553/,2965.07;2932.59;1696.1;1650.75;1613.97;1532.6;1499.77;1422.04;...,Rudra,Y,exact,N,Y,full,Y,5,
7f7c326164fe7a7c419a,A,PMC7504348,,PMC:7504348,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7504348/,2936;1647;1572;1459;1168;458.2298,Rudra,Y,subset_ok,N,Y,full,Y,5,Mass Spec Band (458) included
812a57d9e9d7ebe80cd7,A,PMC13075183,,PMC:13075183,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13075183/,3267.19;1706.88;1610.45;1236.29;1010.63;1091.63,Rudra,Y,exact,N,Y,full,Y,5,
8cf2164c517b3462e9d8,A,PMC7261929,,PMC:7261929,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7261929/,3008;2930;2848;1648;1630;1580;1487;1460;...,Rudra,Y,exact,N,Y,full,Y,5,
AFCPJDMPEFGYGB-UHFFFAOYSA-N,A,PMC9609996,,PMC:9609996,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9609996/,3434.67;1641.52;1384.44;1257.35;700.53,Rudra,Y,exact,N,Y,full,Y,5,
CAPJTPOFWLZZKG-UHFFFAOYSA-N,A,PMC6268283,,PMC:6268283,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6268283/,2974;2924;2672;1654;1621;1441;1371;1311;...,Rudra,Y,exact,N,Y,full,Y,5,
FOGZWXPJHRUPNT-UHFFFAOYSA-N,A,PMC8528871,,PMC:8528871,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8528871/,3176.51;3072.74;3029.32;1712.18;1625.45,Rudra,Y,exact,N,Y,full,Y,5,
GJIWBDYDNJHTGO-UHFFFAOYSA-N,A,PMC7560456,,PMC:7560456,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7560456/,2911;2853;1738;1378;1354;1216;1043;879;...,Rudra,Y,subset_ok,N,Y,full,Y,5,Molecular Mass Included (447.4)
GLPQITZJNNLSSI-OLZOCXBDSA-N,A,PMC8697410,,PMC:8697410,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8697410/,2960.5;2924.5;2852;1740;1681.8;1564.7;1446,Rudra,Y,exact,N,Y,full,Y,5,
HPUPGUSDWSSCKS-UHFFFAOYSA-N,A,PMC3973950,,PMC:3973950,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3973950/,3465.3;3417.47;3148.51;1673.2;1668.7;1624.32;1598.4;1545.9;...,Rudra,Y,exact,N,Y,full,Y,5,
HVVHKPRPJHNBRG-UHFFFAOYSA-N,A,PMC8528871,,PMC:8528871,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8528871/,3175.53;3070.5;3032.28;2597.48;1714.1;1624.38,Rudra,Y,exact,N,Y,full,Y,5,
HXKOEHMUZIEXQS-SANMLTNESA-N,A,PMC10285525,,PMC:10285525,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10285525/,3902;3840;3734;3566;2969;2348;2309;1745;...,Rudra,Y,exact,N,Y,full,Y,5,
IDRWRXBXNHGFKZ-UHFFFAOYSA-N,A,PMC8528871,,PMC:8528871,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8528871/,3172.21;3063.28;3025.66;1710.68;1620.36,Rudra,Y,exact,N,Y,full,Y,5,
IPEVUXMNCRDZCJ-BHVANESWSA-N,A,PMC10285166,,PMC:10285166,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10285166/,3294.67;3098.75;3029.9;2921.86;2853.22;1673.42;1608.31;1517.87;...,Rudra,Y,exact,N,Y,full,Y,5,
IZHDHKVQOYJVAE-UHFFFAOYSA-N,A,PMC10180488,,PMC:10180488,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10180488/,3444.19;3062.52;2930.59;1676.47;1599.4;1438.69,Rudra,Y,exact,N,Y,full,Y,5,
JUPKANYGZWUELU-UHFFFAOYSA-N,A,PMC8709175,,PMC:8709175,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8709175/,3471.87;1683.86;1635.64;1541.12;1400.32;1313.52,Rudra,Y,exact,N,Y,full,Y,5,
JWANMZPPMJCONM-UHFFFAOYSA-N,A,PMC10538245,,PMC:10538245,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10538245/,3433;3167;3039;2947;1708;426;426.46;428.35,Rudra,Y,subset_ok,Y,Y,full,Y,5,"Molecular weight (426) and Mass spec (426.46, 428.35) included"
MONLXCJITKYELP-UHFFFAOYSA-N,A,PMC6713104,,PMC:6713104,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6713104/,3333.3;3288;3056.6;2981.3;2969.1;1743.5;1669.5;1598.3;...,Rudra,Y,exact,N,Y,full,Y,5,
NQOPRZUIVSFTSK-UHFFFAOYSA-N,A,PMC6271593,,PMC:6271593,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6271593/,3359.8;3053.7;1607.9;1573.1;1455.8;1433.3;1317.6;1285.6;...,Rudra,Y,exact,N,Y,full,Y,5,
OQLCVXVVASQZLX-UHFFFAOYSA-N,A,PMC4041026,,PMC:4041026,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4041026/,3049.9;2948;1689.8;1625.4;1469.3;1174.6;1126.9;1029.5;...,Rudra,Y,exact,N,Y,full,Y,5,
OQWBXLOIWVPXCD-XKJRVUDJSA-N,A,PMC6832660,,PMC:6832660,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6832660/,3444.87;3265.49;3066.82;1683.86;1674.21;1653;1635.64;1616.35;...,Rudra,Y,exact,N,Y,full,Y,5,
QYAOJXNKNBUZIA-UBKPWBPPSA-N,A,PMC7828289,,PMC:7828289,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7828289/,3496.26;2955.49;2937.11;1748.95;1288.56,Rudra,Y,exact,N,Y,full,Y,5,
QYZRTYCRHSBZLI-RUZDIDTESA-N,A,PMC10285525,,PMC:10285525,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10285525/,3840;3647;3062;3029;2927;2348;2320;1713;...,Rudra,Y,exact,N,Y,full,Y,5,
QZKXNYJIDCJSOO-UHFFFAOYSA-N,A,PMC6270128,,PMC:6270128,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6270128/,3216;2916;2852;1661;1496;1248;925;860;...,Rudra,Y,exact,N,Y,full,Y,5,
SBIROOHZJZRBTN-UHFFFAOYSA-N,A,PMC7736042,,PMC:7736042,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7736042/,3307;3053;1670;1603;1548;1488;1353;1250;...,Rudra,Y,exact,N,Y,full,Y,5,
SCWPNMHQRGNQHH-AATRIKPKSA-N,A,PMC6268655,,PMC:6268655,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6268655/,1658;1582;1322;1287;1242;936;769,Rudra,Y,exact,N,Y,full,Y,5,
WCDFKUFKUMZDCM-UHFFFAOYSA-N,A,PMC6259578,,PMC:6259578,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6259578/,3089;3053;2880;1593;1489;1423;1409;1392;...,Rudra,Y,subset_ok,Y,Y,major_missing,Y,5,Missing 981 and 952
XSYUDYQSRHQEMM-UHFFFAOYSA-N,A,PMC3898830,,PMC:3898830,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3898830/,3425;1712;1679;1619;1487;1328,Rudra,Y,exact,N,Y,full,Y,5,
YCJXCSJETHDIBY-UHFFFAOYSA-N,A,PMC6277781,,PMC:6277781,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6277781/,2224;1603;1516;1489;1450;1244;1224;1175;...,Rudra,Y,exact,N,Y,full,Y,5,
YXPOTYIIRALLPH-UHFFFAOYSA-N,A,PMC6474902,,PMC:6474902,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6474902/,3328.7;2236.7;1587.5;1216.4,Rudra,Y,exact,N,Y,full,Y,5,
df4fb224a78e61d48a2b,A,PMC6149822,,PMC:6149822,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6149822/,3128.54;3068.75;2939.52;1641.42;1581.63;1523.76;1465.9;1404.16;...,Rudra,Y,exact,N,Y,full,Y,5,
e6f64d1a593f60a23878,A,PMC7593783,,PMC:7593783,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7593783/,2984;1560;1489;1309;820,Rudra,Y,exact,N,Y,full,Y,5,"Four compounds in paper, all 4 have same IR"
eb36e36a90ec66997977,A,PMC4731749,,PMC:4731749,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4731749/,1679.24;1609.67;1584.53;1499.87;1453.83;1434.42;1421.73;1225.62;...,Rudra,Y,exact,N,Y,full,Y,5,
fbf55dd56efa9ae764fb,A,PMC4495023,,PMC:4495023,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4495023/,3277;3176;3054;3026;1989;1659;1591;1486;...,Rudra,Y,exact,N,Y,full,Y,5,
0a4abc1072b0f64a703e,B,PMC9451154,,PMC:9451154,non_commercial,false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9451154/,554;523;501;555;542;525;513;498;...,,,,,,,,,NOT SCORED — band list absent from HF publish (non-commercial pool). Needs rows from data/irexp_rebuild_20260910/ before any field can be scored.
12181302e6fdaf83241f,B,PMC11243167,,PMC:11243167,commercial,false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11243167/,461;474;631;692;741,Rudra,Y,exact,N,unsure,full,NA,5,
14b83cce8ec5d1930d45,B,PMC11684009,,PMC:11684009,commercial,false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11684009/,930;895;855;701;652;611;591;497;...,Rudra,Y,exact,N,unsure,full,NA,5,
156fe14df2367d3800d0,B,PMC12284865,,PMC:12284865,non_commercial,false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12284865/,945;905;862;844;824;769;735;698;...,,,,,,,,,NOT SCORED — band list absent from HF publish (non-commercial pool). Needs rows from data/irexp_rebuild_20260910/ before any field can be scored.
15e8ce0bdfadf47ac051,B,PMC6641174,,PMC:6641174,empty_unknown,false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6641174/,521;550;649;708;759;794;862;953;...,,,,,,,,,NOT SCORED — band list absent from HF publish (non-commercial pool). Needs rows from data/irexp_rebuild_20260910/ before any field can be scored.
225c741ff7856c89f8dd,B,PMC11283217,,PMC:11283217,non_commercial,false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11283217/,748;711;925;713;651;566;514;453;...,,,,,,,,,NOT SCORED — band list absent from HF publish (non-commercial pool). Needs rows from data/irexp_rebuild_20260910/ before any field can be scored.
